Comment,Designator,Footprint,LCSC,Quantity
AP10N04S,Q2,SOT-23,C15127,1
1u,"C2,C3",C_0603_1608Metric,C15849,2
~,LS1,XDCR_CMT-7525-80-SMT-TR,C189208,1
D,D3,D_SOD-323F,C191023,1
MMBT3904,Q1,SOT-23,C20526,1
6-12V,D4,D_SOD-323,C2103,1
1K,"R2,R3,R4,R7,R9",R_0603_1608Metric,C21190,5
10K,"R1,R10,R11,R5,R6,R8",R_0603_1608Metric,C25804,6
500mA,"F1,F2,F3",Fuse_0603_1608Metric,C2844464,3
LED,D5,LED_D3.0mm,C2895472,1
GREEN,D2,LED_D3.0mm,C2895476,1
SW_Push,"SW1,SW2,SW3,SW4",SW_SPST_TL3305B,C2939211,4
MEM2061-01-188-00-A_REVA,J9,GCT_MEM2061-01-188-00-A_REVA,C5151738,1
DRV2605LDGS,U1,VSSOP-10_3x3mm_P0.5mm,C527464,1
RED,D1,LED_D3.0mm,C779429,1
EG1218,S1,EG1218,,1
