Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C2,1u,C_0603_1608Metric,21.5,-28.0,270.0,bottom
C3,1u,C_0603_1608Metric,22.225,-30.25,180.0,bottom
D1,RED,LED_D3.0mm,41.005,-4.0,180.0,top
D2,GREEN,LED_D3.0mm,4.245,-3.75,0.0,top
D3,D,D_SOD-323F,24.45,-32.65,90.0,bottom
D4,6-12V,D_SOD-323,37.5,-40.5,270.0,bottom
D5,LED,LED_D3.0mm,42.25,-40.495,-90.0,top
F1,500mA,Fuse_0603_1608Metric,33.0,-4.25,270.0,bottom
F2,500mA,Fuse_0603_1608Metric,35.75,-4.25,270.0,bottom
F3,500mA,Fuse_0603_1608Metric,12.5,-4.5,270.0,bottom
J9,MEM2061-01-188-00-A_REVA,GCT_MEM2061-01-188-00-A_REVA,8.3,-33.725,90.0,bottom
LS1,~,XDCR_CMT-7525-80-SMT-TR,29.8,-36.2,270.0,bottom
Q1,MMBT3904,SOT-23,25.15,-28.4,270.0,bottom
Q2,AP10N04S,SOT-23,36.75,-34.5,90.0,bottom
R1,10K,R_0603_1608Metric,33.845,-27.058,0.0,bottom
R10,10K,R_0603_1608Metric,28.25,-27.25,0.0,bottom
R11,10K,R_0603_1608Metric,30.925,-27.25,180.0,bottom
R2,1K,R_0603_1608Metric,34.5,-4.25,90.0,bottom
R3,1K,R_0603_1608Metric,37.0,-3.0,90.0,bottom
R4,1K,R_0603_1608Metric,7.75,-4.25,270.0,bottom
R5,10K,R_0603_1608Metric,8.25,-42.0,180.0,bottom
R6,10K,R_0603_1608Metric,5.075,-42.0,0.0,bottom
R7,1K,R_0603_1608Metric,22.75,-28.0,270.0,bottom
R8,10K,R_0603_1608Metric,35.5,-40.5,270.0,bottom
R9,1K,R_0603_1608Metric,39.75,-40.5,90.0,bottom
S1,EG1218,EG1218,39.36975,-32.138,-90.0,top
SW1,SW_Push,SW_SPST_TL3305B,4.0,-12.0,90.0,top
SW2,SW_Push,SW_SPST_TL3305B,4.0,-21.75,90.0,top
SW3,SW_Push,SW_SPST_TL3305B,41.0,-12.0,-90.0,top
SW4,SW_Push,SW_SPST_TL3305B,41.0,-21.5,-90.0,top
U1,DRV2605LDGS,VSSOP-10_3x3mm_P0.5mm,18.25,-30.5,270.0,bottom
